,id,name,email,email_verified_at,password,remember_token,is_active,role,profile_photo_path,created_at,updated_at
53,65,Miguel Paredes,miguel.paredes@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2025-05-31,2025-06-24
54,66,Víctor Zárate,víctor.zárate@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-08-26,2024-09-16
55,67,Luisa Flores,luisa.flores@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-08-31,2024-09-29
56,68,Daniela Soria-Galvarro,daniela.soria-galvarro@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-09-02,2024-09-05
57,69,Yolanda Serrano,yolanda.serrano@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-07-02,2023-07-14
58,70,Miguel Silva,miguel.silva@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-12-17,2023-12-25
59,71,Sandra Navarro,sandra.navarro@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-01-25,2024-02-16
60,72,Raúl Rivera,raúl.rivera@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-04-06,2023-05-02
61,73,Carmen Zeballos,carmen.zeballos@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-08-05,2024-08-18
62,74,Isabel Choque,isabel.choque@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-06-15,2023-07-08
63,75,Ana Soria-Galvarro,ana.soria-galvarro@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-09-24,2023-09-28
64,76,Carla Tórrez,carla.tórrez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-04-07,2024-04-11
65,77,Carlos Martínez,carlos.martínez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-12-24,2024-12-30
66,78,Rodrigo Quispe,rodrigo.quispe@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-11-10,2023-11-27
67,79,Rosario Tórrez,rosario.tórrez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-12-12,2024-01-06
68,80,Cristian Chura,cristian.chura@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-05-22,2023-06-17
69,81,Paola Condori,paola.condori@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2025-03-28,2025-04-26
